sku_id,attribute,proposed_value,proposed_status,agreement,alternatives,corrected_value,corrected_status,note
shopify:www.thursdayboots.com:7593564405850,colour_primary,beige,labeled,1.00,brown,,unknown,human
shopify:fahertybrand.com:8021113274437,silhouette,flare,labeled,0.60,fit_and_flare,flare,labeled,human
shopify:fahertybrand.com:7055925805125,details,none,labeled,0.60,lined,,unknown,human
shopify:www.rothys.com:6819502194782,garment_category,bag,labeled,1.00,other,bag,labeled,human
shopify:www.outdoorvoices.com:7769243320398,pattern,graphic,labeled,0.80,abstract,abstract,labeled,human
shopify:www.everlane.com:7855403958358,details,lined,labeled,0.80,none,,unknown,human
shopify:www.thursdayboots.com:7539260391514,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,human
shopify:www.taylorstitch.com:7355710931021,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,human
shopify:fahertybrand.com:6900366082117,closure,zip,labeled,0.80,fly,zip,labeled,human
shopify:www.everlane.com:7784911372374,sleeve_style,dolman,labeled,1.00,flutter,dolman,labeled,human
shopify:www.taylorstitch.com:7579181809741,garment_category,shirt_blouse,labeled,1.00,top,shirt_blouse,labeled,human
shopify:fahertybrand.com:8133911969861,colour_primary,white,labeled,0.60,beige,beige,labeled,human
shopify:www.thursdayboots.com:7332008624218,colour_primary,metallic,labeled,0.40,brown,metallic,labeled,human
shopify:www.untuckit.com:7853284458574,occasion,work,labeled,0.60,casual,work,labeled,human
shopify:www.rothys.com:6819497214046,garment_category,bag,labeled,0.80,other,bag,labeled,human
shopify:fahertybrand.com:8021061730373,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,human
shopify:www.thursdayboots.com:6869689598042,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,human
shopify:www.everlane.com:7784911405142,sleeve_style,dolman,labeled,1.00,flutter,dolman,labeled,human
shopify:fahertybrand.com:7492251582533,material,cotton,labeled,0.80,denim,cotton,labeled,human
shopify:www.taylorstitch.com:6865636294733,occasion,work,labeled,1.00,casual,work,labeled,human
shopify:www.everlane.com:7859754434646,sleeve_style,dolman,labeled,0.80,flutter,dolman,labeled,human
shopify:www.everlane.com:7841452032086,details,none,labeled,0.80,lined,none,labeled,human
shopify:www.everlane.com:7793247748182,colour_primary,purple,labeled,0.60,pink,purple,labeled,human
shopify:www.everlane.com:7827412713558,material,knit,labeled,0.60,synthetic,knit,labeled,human
shopify:www.american-giant.com:8226070954165,garment_category,shirt_blouse,labeled,1.00,top,shirt_blouse,labeled,human
shopify:www.taylorstitch.com:7454613602381,colour_primary,blue,labeled,0.60,navy,blue,labeled,human
shopify:www.everlane.com:7825077862486,colour_primary,white,labeled,1.00,beige,white,labeled,human
shopify:www.tentree.com:8143553757370,garment_category,sweater,labeled,0.80,top,sweater,labeled,human
shopify:www.thursdayboots.com:7593561751642,colour_primary,beige,labeled,1.00,brown,beige,labeled,human
shopify:www.taylorstitch.com:7115853234253,colour_primary,navy,labeled,0.80,blue,navy,labeled,human
shopify:www.everlane.com:7827422478422,material,synthetic,labeled,0.40,knit,synthetic,labeled,human
shopify:www.everlane.com:7810433941590,colour_primary,multicolour,labeled,1.00,black,,unknown,human
shopify:fahertybrand.com:7876140564549,details,pleated|washed|cutout,labeled,0.40,pleated|washed,pleated|washed,labeled,human
shopify:www.everlane.com:7855407923286,material,knit,labeled,0.80,synthetic,synthetic,labeled,human
shopify:fahertybrand.com:8021115994181,occasion,lounge,labeled,1.00,casual,casual,labeled,human
shopify:fahertybrand.com:8021115928645,garment_category,shirt_blouse,labeled,0.80,top,shirt_blouse,labeled,human
shopify:www.everlane.com:7855404318806,occasion,beach,labeled,0.60,casual,casual,labeled,human
shopify:fahertybrand.com:8021116059717,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,human
shopify:www.thursdayboots.com:7332008296538,details,studded,labeled,0.40,none,none,labeled,human
shopify:www.taylorstitch.com:7307482300493,details,washed,labeled,1.00,washed|slit,washed,labeled,human
shopify:www.thursdayboots.com:7442149146714,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,human
shopify:www.taylorstitch.com:7579184529485,details,washed|embroidered,labeled,1.00,embroidered|slit|washed,washed|embroidered,labeled,human
shopify:fahertybrand.com:7552632389701,details,tiered|gathered,labeled,1.00,tiered,tiered,labeled,human
shopify:www.everlane.com:7855407956054,material,knit,labeled,0.60,synthetic,synthetic,labeled,human
shopify:fahertybrand.com:6900366016581,details,none,labeled,0.60,lined,lined,labeled,human
shopify:www.everlane.com:7859024363606,details,gathered,labeled,0.80,none,gathered,labeled,human
shopify:fahertybrand.com:7552626360389,pattern,graphic,labeled,1.00,solid,graphic,labeled,human
shopify:www.thursdayboots.com:7015663042650,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,human
shopify:fahertybrand.com:8021099315269,occasion,work,labeled,0.40,casual,work,labeled,human
shopify:www.taylorstitch.com:7579199668301,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,human
shopify:www.taylorstitch.com:7355710865485,garment_category,shirt_blouse,labeled,1.00,top,shirt_blouse,labeled,human
shopify:naadam.co:7278785036384,garment_category,top,labeled,1.00,sweater,sweater,labeled,human
shopify:www.untuckit.com:7853402357838,occasion,work,labeled,0.80,casual,work,labeled,human
shopify:fahertybrand.com:6884728930373,pattern,graphic,labeled,0.80,solid,solid,labeled,human
shopify:www.everlane.com:7859754401878,garment_category,top,labeled,0.60,shirt_blouse,top,labeled,human
shopify:fahertybrand.com:7055925936197,closure,zip,labeled,0.60,fly,zip,labeled,human
shopify:fahertybrand.com:8021113405509,silhouette,flare,labeled,0.80,fit_and_flare,flare,labeled,human
shopify:naadam.co:6835720716384,fit,regular,labeled,0.60,loose,regular,labeled,human
shopify:naadam.co:7634686640224,garment_category,sweater,labeled,1.00,top,top,labeled,human
shopify:www.everlane.com:7784911405142,colour_primary,white,labeled,1.00,beige,white,labeled,human
shopify:www.untuckit.com:7590240878670,colour_primary,multicolour,labeled,0.80,blue,multicolour,labeled,human
shopify:www.untuckit.com:4556194840654,details,lined|slit,labeled,1.00,lined,lined|slit,labeled,human
shopify:naadam.co:6620058484832,details,none,labeled,0.60,quilted,none,labeled,human
shopify:www.tentree.com:8322436235450,material,cotton,labeled,0.60,denim,cotton,labeled,human
shopify:www.thursdayboots.com:7332008296538,colour_primary,metallic,labeled,0.80,brown,metallic,labeled,human
