sku_id,attribute,proposed_value,proposed_status,agreement,alternatives,corrected_value,corrected_status,note
shopify:www.thursdayboots.com:7593564405850,colour_primary,beige,labeled,1.00,brown,,unknown,
shopify:fahertybrand.com:8021113274437,silhouette,flare,labeled,0.60,fit_and_flare,flare,labeled,
shopify:fahertybrand.com:7055925805125,details,none,labeled,0.60,lined,,unknown,
shopify:www.rothys.com:6819502194782,garment_category,bag,labeled,1.00,other,bag,labeled,
shopify:www.outdoorvoices.com:7769243320398,pattern,graphic,labeled,0.80,abstract,abstract,labeled,
shopify:www.everlane.com:7855403958358,details,lined,labeled,0.80,none,,unknown,
shopify:www.thursdayboots.com:7539260391514,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,
shopify:www.taylorstitch.com:7355710931021,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,
shopify:fahertybrand.com:6900366082117,closure,zip,labeled,0.80,fly,zip,labeled,
shopify:www.everlane.com:7784911372374,sleeve_style,dolman,labeled,1.00,flutter,dolman,labeled,
shopify:www.taylorstitch.com:7579181809741,garment_category,shirt_blouse,labeled,1.00,top,shirt_blouse,labeled,
shopify:fahertybrand.com:8133911969861,colour_primary,white,labeled,0.60,beige,beige,labeled,
shopify:www.thursdayboots.com:7332008624218,colour_primary,metallic,labeled,0.40,brown,metallic,labeled,
shopify:www.untuckit.com:7853284458574,occasion,work,labeled,0.60,casual,work,labeled,
shopify:www.rothys.com:6819497214046,garment_category,bag,labeled,0.80,other,bag,labeled,
shopify:fahertybrand.com:8021061730373,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,
shopify:www.thursdayboots.com:6869689598042,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,
shopify:www.everlane.com:7784911405142,sleeve_style,dolman,labeled,1.00,flutter,dolman,labeled,
shopify:fahertybrand.com:7492251582533,material,cotton,labeled,0.80,denim,cotton,labeled,
shopify:www.taylorstitch.com:6865636294733,occasion,work,labeled,1.00,casual,work,labeled,
shopify:www.everlane.com:7859754434646,sleeve_style,dolman,labeled,0.80,flutter,dolman,labeled,
shopify:www.everlane.com:7841452032086,details,none,labeled,0.80,lined,none,labeled,
shopify:www.everlane.com:7793247748182,colour_primary,purple,labeled,0.60,pink,purple,labeled,
shopify:www.everlane.com:7827412713558,material,knit,labeled,0.60,synthetic,knit,labeled,
shopify:www.american-giant.com:8226070954165,garment_category,shirt_blouse,labeled,1.00,top,shirt_blouse,labeled,
shopify:www.taylorstitch.com:7454613602381,colour_primary,blue,labeled,0.60,navy,blue,labeled,
shopify:www.everlane.com:7825077862486,colour_primary,white,labeled,1.00,beige,white,labeled,
shopify:www.tentree.com:8143553757370,garment_category,sweater,labeled,0.80,top,sweater,labeled,
shopify:www.thursdayboots.com:7593561751642,colour_primary,beige,labeled,1.00,brown,beige,labeled,
shopify:www.taylorstitch.com:7115853234253,colour_primary,navy,labeled,0.80,blue,navy,labeled,
shopify:www.everlane.com:7827422478422,material,synthetic,labeled,0.40,knit,synthetic,labeled,
shopify:www.everlane.com:7810433941590,colour_primary,multicolour,labeled,1.00,black,,unknown,
shopify:fahertybrand.com:7876140564549,details,pleated|washed|cutout,labeled,0.40,pleated|washed,pleated|washed,labeled,
shopify:www.everlane.com:7855407923286,material,knit,labeled,0.80,synthetic,synthetic,labeled,
shopify:fahertybrand.com:8021115994181,occasion,lounge,labeled,1.00,casual,casual,labeled,
shopify:fahertybrand.com:8021115928645,garment_category,shirt_blouse,labeled,0.80,top,shirt_blouse,labeled,
