garment_category,silhouette,fit,garment_length,sleeve_length,sleeve_style,neckline,collar_type,waistline,closure,pattern,details,material,colour_primary,occasion
shirt_blouse,a_line,tight,cropped,sleeveless,set_in,crew,none,high,zip,solid,none,cotton,black,casual
top,straight,regular,hip,short,cap,scoop,shirt,normal,single_breasted,stripe,pleated,denim,white,work
sweater,pencil,loose,mini,elbow,puff,v_neck,band,low,double_breasted,floral,gathered,linen,grey,formal
cardigan,fit_and_flare,oversized,above_knee,three_quarter,bell,square,polo,empire,fly,check,ruched,silk,beige,athletic
jacket,flare,unknown,knee,long,raglan,sweetheart,peter_pan,dropped,wrap,dot,distressed,wool,brown,lounge
vest,wide_leg,,midi,unknown,dolman,boat,notched_lapel,none,lace_up,animal,washed,cashmere,navy,beach
pants,bootcut,,maxi,,dropped_shoulder,halter,peak_lapel,unknown,buckle,geometric,quilted,leather,blue,unknown
shorts,mermaid,,unknown,,flutter,turtle,shawl_lapel,,pullover,abstract,tiered,suede,green,
skirt,shift,,,,bishop,mock,hooded,,drawstring,paisley,cutout,fur,yellow,
coat,balloon,,,,kimono,cowl,unknown,,unknown,houndstooth,slit,knit,orange,
dress,peg,,,,unknown,off_shoulder,,,,herringbone,sequined,synthetic,red,
jumpsuit,circle,,,,,one_shoulder,,,,camouflage,embroidered,unknown,pink,
cape,high_low,,,,,plunging,,,,graphic,lined,,purple,
shoe,peplum,,,,,wrap,,,,fair_isle,studded,,multicolour,
bag,bodycon,,,,,collarless,,,,unknown,unknown,,metallic,
other,unknown,,,,,unknown,,,,,,,unknown,
unknown,,,,,,,,,,,,,,
