sku_id,attribute,agreement,n_variants,proposed,status
shopify:fahertybrand.com:8021058519109,pattern,0.3333,3,,unknown
shopify:fahertybrand.com:8021058519109,silhouette,0.3333,3,,not_applicable
shopify:fahertybrand.com:7485267116101,details,0.4,4,[],not_applicable
shopify:fahertybrand.com:7821227524165,details,0.4,4,,unknown
shopify:fahertybrand.com:7821227524165,pattern,0.4,3,solid,labeled
shopify:fahertybrand.com:7876090298437,waistline,0.4,3,none,labeled
shopify:fahertybrand.com:7876155867205,silhouette,0.4,3,,unknown
shopify:fahertybrand.com:7876163469381,waistline,0.4,3,none,labeled
shopify:naadam.co:6619045298272,details,0.4,4,"[""none""]",labeled
shopify:naadam.co:6835721404512,waistline,0.4,3,,not_applicable
shopify:naadam.co:7163412185184,waistline,0.4,3,,not_applicable
shopify:naadam.co:7294078058592,collar_type,0.4,3,none,labeled
shopify:naadam.co:7294139596896,details,0.4,3,"[""none""]",labeled
shopify:naadam.co:7294139596896,waistline,0.4,3,,not_applicable
shopify:naadam.co:7505739710560,waistline,0.4,3,,not_applicable
shopify:naadam.co:7696137453664,details,0.4,3,"[""none""]",labeled
shopify:www.allbirds.com:6822714867792,pattern,0.4,3,,not_applicable
shopify:www.allbirds.com:7010120368208,details,0.4,3,,unknown
shopify:www.allbirds.com:7010120368208,pattern,0.4,3,,unknown
shopify:www.allbirds.com:7082683039824,occasion,0.4,3,athletic,labeled
shopify:www.allbirds.com:7188364329040,material,0.4,3,,not_applicable
shopify:www.allbirds.com:7193763905616,pattern,0.4,3,solid,labeled
shopify:www.allbirds.com:7199672238160,details,0.4,3,,not_applicable
shopify:www.allbirds.com:7199672238160,pattern,0.4,3,solid,labeled
shopify:www.allbirds.com:7205194924112,occasion,0.4,3,casual,labeled
shopify:www.allbirds.com:7205194924112,pattern,0.4,3,,not_applicable
shopify:www.allbirds.com:7215631466576,details,0.4,3,,unknown
shopify:www.allbirds.com:7257961955408,details,0.4,3,"[""none""]",labeled
shopify:www.american-giant.com:10182349127861,waistline,0.4,3,,unknown
shopify:www.american-giant.com:10251478794421,waistline,0.4,3,,unknown
shopify:www.american-giant.com:10312474919093,waistline,0.4,3,,unknown
shopify:www.american-giant.com:10341502386357,waistline,0.4,3,none,labeled
shopify:www.american-giant.com:10341502582965,details,0.4,3,"[""none""]",labeled
shopify:www.american-giant.com:10362935935157,waistline,0.4,3,,unknown
shopify:www.american-giant.com:10390733095093,waistline,0.4,3,,unknown
shopify:www.american-giant.com:10414088716469,waistline,0.4,3,none,labeled
shopify:www.american-giant.com:6278685950133,details,0.4,4,,unknown
shopify:www.american-giant.com:7135738167477,collar_type,0.4,3,none,labeled
shopify:www.american-giant.com:7393078870197,details,0.4,4,[],not_applicable
shopify:www.american-giant.com:7478547382453,waistline,0.4,3,,unknown
shopify:www.american-giant.com:7482388938933,closure,0.4,3,pullover,labeled
shopify:www.american-giant.com:7653235884213,waistline,0.4,3,,unknown
shopify:www.everlane.com:7790982398038,details,0.4,3,"[""none""]",labeled
shopify:www.everlane.com:7823763374166,waistline,0.4,3,none,labeled
shopify:www.everlane.com:7825077698646,waistline,0.4,3,,not_applicable
shopify:www.everlane.com:7827422609494,waistline,0.4,3,none,labeled
shopify:www.everlane.com:7830716678230,waistline,0.4,3,none,labeled
shopify:www.everlane.com:7859022495830,waistline,0.4,3,none,labeled
shopify:www.marinelayer.com:8016253255754,waistline,0.4,3,none,labeled
shopify:www.marinelayer.com:8084574273610,waistline,0.4,3,,unknown
shopify:www.marinelayer.com:8110969716810,waistline,0.4,3,none,labeled
shopify:www.marinelayer.com:8110980005962,closure,0.4,3,pullover,labeled
shopify:www.marinelayer.com:8175109341258,details,0.4,3,[],not_applicable
shopify:www.marinelayer.com:8175109341258,waistline,0.4,3,none,labeled
shopify:www.outdoorvoices.com:7585332625486,collar_type,0.4,3,none,labeled
shopify:www.outdoorvoices.com:7585332625486,waistline,0.4,3,,not_applicable
shopify:www.rothys.com:6876598141022,details,0.4,3,,unknown
shopify:www.rothys.com:7597342851166,details,0.4,3,,unknown
shopify:www.rothys.com:7616295895134,details,0.4,3,"[""lined""]",labeled
shopify:www.rothys.com:7636126072926,details,0.4,3,"[""none""]",labeled
shopify:www.taylorstitch.com:7454612258893,collar_type,0.4,3,,not_applicable
