_step,train/global_step,eval/samples_per_second,train/epoch,eval/loss,_runtime,_timestamp,train/loss,eval/runtime,train/peak_gpu_reserved_gib,train/peak_gpu_allocated_gib,train/grad_norm,eval/steps_per_second,train/wall_seconds_measured,train/learning_rate
0,1,,0.0049382716049382715,,3.441531763,1785620561.2764513,0.5245,,,,0.7926011681556702,,,0.0
1,10,,0.04938271604938271,,15.181435754,1785620573.0165489,0.4936,,,,0.8225449323654175,,,4.2857142857142856e-05
2,20,,0.09876543209876543,,28.443537588,1785620586.2786531,0.3132,,,,0.33619794249534607,,,9.047619047619048e-05
3,30,,0.14814814814814814,,41.805168377,1785620599.6402712,0.204,,,,0.19731342792510986,,,9.989350136627627e-05
4,40,,0.19753086419753085,,55.255837479,1785620613.0909314,0.1424,,,,0.2670162320137024,,,9.946162809388176e-05
5,50,,0.24691358024691357,,68.585258889,1785620626.4203773,0.1033,,,,0.1980075240135193,,,9.870059584711668e-05
6,60,,0.2962962962962963,,81.889649715,1785620639.7247744,0.0869,,,,0.2039736956357956,,,9.761546917002178e-05
7,70,,0.345679012345679,,95.465626378,1785620653.3008351,0.0735,,,,0.19055481255054474,,,9.62134694015998e-05
8,80,,0.3950617283950617,,108.84439447,1785620666.6795151,0.0589,,,,0.2240815907716751,,,9.450392661899594e-05
9,90,,0.4444444444444444,,122.255405862,1785620680.090616,0.0578,,,,0.20772196352481842,,,9.249821754737369e-05
10,100,,0.49382716049382713,,135.585099611,1785620693.420219,0.0484,,,,0.16957475244998932,,,9.020968984968603e-05
11,110,,0.5432098765432098,,148.880425371,1785620706.715537,0.0461,,,,0.2190285325050354,,,8.765357330018056e-05
12,120,,0.5925925925925926,,162.424590364,1785620720.259708,0.0468,,,,0.2322429120540619,,,8.484687843276469e-05
13,130,,0.6419753086419753,,175.952022292,1785620733.7871182,0.0471,,,,0.21950285136699677,,,8.180828333870901e-05
14,140,,0.691358024691358,,189.482311465,1785620747.3174546,0.0392,,,,0.22569139301776886,,,7.855800936703157e-05
15,150,,0.7407407407407407,,202.579578238,1785620760.4147704,0.0426,,,,0.17271342873573303,,,7.511768655475641e-05
16,160,,0.7901234567901234,,215.801838726,1785620773.6370306,0.0357,,,,0.21325096487998962,,,7.151020968258595e-05
17,170,,0.8395061728395061,,229.323672127,1785620787.1587832,0.0392,,,,0.2957705557346344,,,6.775958591391264e-05
18,180,,0.8888888888888888,,242.637995376,1785620800.4730966,0.0342,,,,0.211422860622406,,,6.389077503110769e-05
19,190,,0.9382716049382716,,256.238633173,1785620814.0737472,0.0374,,,,0.14936652779579163,,,5.992952333228728e-05
20,200,,0.9876543209876543,,269.698902878,1785620827.534022,0.0363,,,,0.16073881089687347,,,5.590219229394652e-05
21,203,30.395,1.0,0.03617018461227417,284.941542608,1785620842.7766268,,11.8441,,,,7.599,,
22,210,,1.0345679012345679,,295.149066823,1785620852.9841967,0.0357,,,,0.2638445496559143,,,5.183558313968274e-05
23,220,,1.0839506172839506,,308.728915905,1785620866.563926,0.0304,,,,0.1417003870010376,,,4.775675848247427e-05
24,230,,1.1333333333333333,,321.932281612,1785620879.76736,0.0311,,,,0.20737262070178986,,,4.369286222745613e-05
25,240,,1.182716049382716,,335.458492979,1785620893.2935152,0.0291,,,,0.1678854376077652,,,3.967093893370978e-05
26,250,,1.2320987654320987,,349.04464033,1785620906.8797443,0.0307,,,,0.22417473793029785,,,3.571775383718447e-05
27,260,,1.2814814814814814,,362.652626071,1785620920.4877179,0.0269,,,,0.1835683286190033,,,3.1859614732467954e-05
28,270,,1.3308641975308642,,376.147669395,1785620933.9827645,0.0304,,,,0.2042854279279709,,,2.812219689875397e-05
29,280,,1.3802469135802469,,390.11225964,1785620947.9474072,0.0283,,,,0.2127102166414261,,,2.4530372235095338e-05
30,290,,1.4296296296296296,,403.373616903,1785620961.208736,0.0314,,,,0.16574902832508087,,,2.1108043742019357e-05
31,300,,1.4790123456790123,,416.807006562,1785620974.642124,0.0268,,,,0.16892553865909576,,,1.7877986451002993e-05
32,310,,1.528395061728395,,430.22306487,1785620988.0581648,0.0283,,,,0.2987982928752899,,,1.4861695860396019e-05
33,320,,1.5777777777777777,,443.196345604,1785621001.0314116,0.0291,,,,0.24202683568000793,,,1.2079244886426017e-05
34,330,,1.6271604938271604,,456.340596998,1785621014.1757872,0.0269,,,,0.1745530515909195,,,9.549150281252633e-06
35,340,,1.6765432098765434,,469.721942495,1785621027.5570579,0.0275,,,,0.1858755350112915,,,7.288249407037084e-06
36,350,,1.7259259259259259,,483.383645127,1785621041.218799,0.0275,,,,0.17761605978012085,,,5.311588186074901e-06
37,360,,1.7753086419753088,,496.920792797,1785621054.7559094,0.0267,,,,0.18995733559131622,,,3.632320972665415e-06
38,370,,1.8246913580246913,,509.941015036,1785621067.7761319,0.0251,,,,0.1691318154335022,,,2.2616230130542982e-06
39,380,,1.8740740740740742,,523.50082479,1785621081.3359451,0.0284,,,,0.16869904100894928,,,1.2086160760135079e-06
40,390,,1.9234567901234567,,536.475519141,1785621094.310637,0.0273,,,,0.18760862946510315,,,4.803077489751395e-07
41,400,,1.9728395061728397,,549.261699448,1785621107.0968177,0.0282,,,,0.17601782083511353,,,8.15448036932176e-08
42,406,30.498,2.0,0.032068103551864624,568.578001381,1785621126.4130557,,11.804,,,,7.625,,
43,406,,2.0,,569.268055338,1785621127.1033757,,,,,,,,
44,406,,2.0,,570.213454749,1785621128.0483842,,,4.99609375,4.904764175415039,,,572.5110652409494,
