timestamp_utc,gpu_memory_used_mib,gpu_memory_free_mib,gpu_utilization_percent,gpu_temperature_c,disk_available_bytes
2026-08-02T21:38:21Z,428,23699,0,37,5033664512
2026-08-02T21:38:22Z,428,23699,0,37,5033664512
2026-08-02T21:38:23Z,428,23699,0,37,5033664512
2026-08-02T21:38:24Z,428,23699,0,37,5033664512
2026-08-02T21:38:25Z,428,23699,0,37,5033664512
2026-08-02T21:38:26Z,428,23699,0,37,5033664512
2026-08-02T21:38:27Z,428,23699,0,37,5033664512
2026-08-02T21:38:28Z,428,23699,0,37,5033664512
2026-08-02T21:38:29Z,428,23699,0,37,5033664512
2026-08-02T21:38:30Z,428,23699,0,37,5033664512
2026-08-02T21:38:31Z,428,23699,0,37,5033664512
2026-08-02T21:38:33Z,428,23699,0,37,5033664512
2026-08-02T21:38:34Z,428,23699,0,37,5033664512
2026-08-02T21:38:35Z,428,23699,0,37,5033664512
2026-08-02T21:38:36Z,428,23699,0,37,5033664512
2026-08-02T21:38:37Z,428,23699,0,37,5033664512
2026-08-02T21:38:38Z,428,23699,0,37,5033664512
2026-08-02T21:38:39Z,428,23699,0,37,5033664512
2026-08-02T21:38:40Z,428,23699,0,37,5033664512
2026-08-02T21:38:41Z,428,23699,0,37,5033664512
2026-08-02T21:38:42Z,428,23699,0,37,5033660416
2026-08-02T21:38:43Z,3893,20234,0,40,5033660416
2026-08-02T21:38:44Z,3893,20234,23,40,5033660416
2026-08-02T21:38:45Z,3909,20218,0,40,5033660416
2026-08-02T21:38:47Z,3909,20218,0,40,5033660416
2026-08-02T21:38:48Z,3909,20218,0,40,5033660416
2026-08-02T21:38:49Z,3909,20218,0,41,5033660416
2026-08-02T21:38:50Z,3909,20218,0,41,5033660416
2026-08-02T21:38:51Z,3989,20138,0,41,5033656320
2026-08-02T21:38:52Z,4591,19536,0,43,5033345024
2026-08-02T21:38:53Z,4591,19536,0,43,5032910848
2026-08-02T21:38:54Z,4591,19536,0,42,5032910848
2026-08-02T21:38:55Z,4591,19536,0,42,5029203968
2026-08-02T21:38:56Z,4591,19536,0,42,5029203968
2026-08-02T21:38:57Z,4591,19536,0,42,5029203968
2026-08-02T21:38:58Z,4591,19536,0,43,5029203968
